word,pinyin,english,level,language
哎哟,āi yō,hey,HSK6,1
挨,ái,to suffer,HSK6,1
癌症,ái zhèng,cancer,HSK6,1
爱不释手,ài bù shì shǒu,to love sth too much to part with it (idiom),HSK6,1
爱戴,ài dài,to love and respect,HSK6,1
暧昧,ài mèi,vague,HSK6,1
安居乐业,ān jū lè yè,live in peace and work happily (idiom),HSK6,1
安宁,ān níng,peaceful,HSK6,1
安详,ān xiáng,serene,HSK6,1
安置,ān zhì,to find a place for,HSK6,1
暗示,àn shì,to hint,HSK6,1
案件,àn jiàn,law case,HSK6,1
案例,àn lì,case (law),HSK6,1
按摩,àn mó,massage,HSK6,1
昂贵,áng guì,expensive,HSK6,1
凹凸,āo tū,bumpy,HSK6,1
熬,áo,to cook on a slow fire,HSK6,1
奥秘,ào mì,secret,HSK6,1
扒,bā,to hold on to,HSK6,1
疤,bā,scar,HSK6,1
巴不得,bā bù dé,to be eager for,HSK6,1
巴结,bā jie,to fawn on,HSK6,1
拔苗助长,bá miáo zhù zhǎng,to spoil things through excessive enthusiasm (idiom),HSK6,1
把关,bǎ guān,to guard a pass,HSK6,1
把手,bǎ shǒu,handle,HSK6,1
把戏,bǎ xì,acrobatics,HSK6,1
霸道,bà dào,the Way of the Hegemon,HSK6,1
罢工,bà gōng,a strike,HSK6,1
掰,bāi,to break with both hands,HSK6,1
百分点,bǎi fēn diǎn,percentage point,HSK6,1
摆脱,bǎi tuō,to break away from,HSK6,1
拜访,bài fǎng,to pay a visit,HSK6,1
拜年,bài nián,pay a New Year call,HSK6,1
拜托,bài tuō,to request sb to do sth,HSK6,1
败坏,bài huài,to ruin,HSK6,1
颁布,bān bù,to issue,HSK6,1
颁发,bān fā,to issue,HSK6,1
斑纹,bān wén,stripe,HSK6,1
版本,bǎn běn,version,HSK6,1
半途而废,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished,HSK6,1
伴侣,bàn lǚ,companion,HSK6,1
伴随,bàn suí,to accompany,HSK6,1
扮演,bàn yǎn,to play the role of,HSK6,1
绑架,bǎng jià,to kidnap,HSK6,1
榜样,bǎng yàng,example,HSK6,1
磅,bàng,see 磅秤 scale,HSK6,1
包庇,bāo bì,to shield,HSK6,1
包袱,bāo fu,cloth-wrapper,HSK6,1
包围,bāo wéi,to surround,HSK6,1
包装,bāo zhuāng,to pack,HSK6,1
饱和,bǎo hé,saturation,HSK6,1
饱经沧桑,bǎo jīng cāng sāng,having lived through many changes,HSK6,1
保管,bǎo guǎn,to assure,HSK6,1
保密,bǎo mì,to keep sth confidential,HSK6,1
保姆,bǎo mǔ,nanny,HSK6,1
保守,bǎo shǒu,(politically) conservative,HSK6,1
保卫,bǎo wèi,to defend,HSK6,1
保养,bǎo yǎng,to take good care of (or conserve) one's health,HSK6,1
保障,bǎo zhàng,to ensure,HSK6,1
保重,bǎo zhòng,to take care of oneself,HSK6,1
抱负,bào fù,aspiration,HSK6,1
抱怨,bào yuàn,to complain,HSK6,1
报仇,bào chóu,to take revenge,HSK6,1
报酬,bào chóu,reward,HSK6,1
报答,bào dá,to repay,HSK6,1
报到,bào dào,to report for duty,HSK6,1
报复,bào fù,to make reprisals,HSK6,1
报社,bào shè,general office of a newspaper,HSK6,1
报销,bào xiāo,to submit an expense account,HSK6,1
爆发,bào fā,to break out,HSK6,1
爆炸,bào zhà,explosion,HSK6,1
曝光,bào guāng,light meter,HSK6,1
暴力,bào lì,violence,HSK6,1
暴露,bào lù,to expose,HSK6,1
悲哀,bēi āi,grieved,HSK6,1
悲惨,bēi cǎn,miserable,HSK6,1
卑鄙,bēi bǐ,base,HSK6,1
北极,běi jí,the North Pole,HSK6,1
被动,bèi dòng,passive,HSK6,1
被告,bèi gào,defendant,HSK6,1
背叛,bèi pàn,to betray,HSK6,1
背诵,bèi sòng,recite,HSK6,1
备份,bèi fèn,backup,HSK6,1
备忘录,bèi wàng lù,memorandum,HSK6,1
贝壳,bèi ké,shell,HSK6,1
奔波,bēn bō,to rush about,HSK6,1
奔驰,bēn chí,to run quickly,HSK6,1
本能,běn néng,instinct,HSK6,1
本钱,běn qián,capital,HSK6,1
本人,běn rén,the person himself,HSK6,1
本身,běn shēn,itself,HSK6,1
本事,běn shi,ability,HSK6,1
本着,běn zhe,based on...,HSK6,1
笨拙,bèn zhuō,clumsy,HSK6,1
崩溃,bēng kuì,to collapse,HSK6,1
甭,béng,need not,HSK6,1
蹦,bèng,to jump,HSK6,1
迸发,bèng fā,to burst forth,HSK6,1
逼迫,bī pò,to force,HSK6,1
鼻涕,bí tì,nasal mucus,HSK6,1
比方,bǐ fang,analogy,HSK6,1
比喻,bǐ yù,to compare,HSK6,1
比重,bǐ zhòng,proportion,HSK6,1
臂,bì,arm,HSK6,1
弊病,bì bìng,malady,HSK6,1
弊端,bì duān,malpractice,HSK6,1
必定,bì dìng,be bound to,HSK6,1
闭塞,bì sè,to stop up,HSK6,1
碧玉,bì yù,jasper,HSK6,1
鞭策,biān cè,to spur on,HSK6,1
编织,biān zhī,to weave,HSK6,1
边疆,biān jiāng,border area,HSK6,1
边界,biān jiè,boundary,HSK6,1
边境,biān jìng,frontier,HSK6,1
边缘,biān yuán,edge,HSK6,1
扁,biǎn,flat,HSK6,1
贬低,biǎn dī,to belittle,HSK6,1
贬义,biǎn yì,derogatory sense,HSK6,1
遍布,biàn bù,to cover the whole (area),HSK6,1
便利,biàn lì,convenient,HSK6,1
便条,biàn tiáo,(informal) note,HSK6,1
便于,biàn yú,easy to,HSK6,1
变故,biàn gù,an unforeseen event,HSK6,1
变迁,biàn qiān,changes,HSK6,1
变质,biàn zhì,to degenerate,HSK6,1
辩护,biàn hù,to speak in defense of,HSK6,1
辩解,biàn jiě,to explain,HSK6,1
辩证,biàn zhèng,to investigate,HSK6,1
辨认,biàn rèn,to recognize,HSK6,1
辫子,biàn zi,plait,HSK6,1
标本,biāo běn,specimen,HSK6,1
标记,biāo jì,sign,HSK6,1
标题,biāo tí,title,HSK6,1
飙升,biāo shēng,to rise rapidly,HSK6,1
表决,biǎo jué,to decide by vote,HSK6,1
表态,biǎo tài,to declare one's position,HSK6,1
表彰,biǎo zhāng,to honor,HSK6,1
憋,biē,to choke,HSK6,1
别墅,bié shù,villa,HSK6,1
别致,bié zhì,variant of 別緻|别致[bié zhì],HSK6,1
别扭,biè niu,awkward,HSK6,1
濒临,bīn lín,on the verge of,HSK6,1
冰雹,bīng báo,hail,HSK6,1
并存,bìng cún,to exist at the same time,HSK6,1
并非,bìng fēi,really isn't,HSK6,1
并列,bìng liè,to stand side by side,HSK6,1
拨打,bō dǎ,to call,HSK6,1
播放,bō fàng,to broadcast,HSK6,1
播种,bō zhǒng,to sow seeds,HSK6,1
波浪,bō làng,wave,HSK6,1
波涛汹涌,bō tāo xiōng yǒng,waves surging forth,HSK6,1
剥削,bō xuē,to exploit,HSK6,1
博大精深,bó dà jīng shēn,wide-ranging and profound,HSK6,1
博览会,bó lǎn huì,exposition,HSK6,1
搏斗,bó dòu,to wrestle,HSK6,1
伯母,bó mǔ,wife of father's elder brother,HSK6,1
薄弱,bó ruò,weak,HSK6,1
不顾,bù gù,in spite of,HSK6,1
不愧,bù kuì,to be worthy of,HSK6,1
不料,bù liào,unexpectedly,HSK6,1
不像话,bù xiàng huà,unreasonable,HSK6,1
不屑一顾,bù xiè yī gù,to disdain as beneath contempt,HSK6,1
补偿,bǔ cháng,to compensate,HSK6,1
补救,bǔ jiù,to remedy,HSK6,1
补贴,bǔ tiē,to subsidize,HSK6,1
哺乳,bǔ rǔ,breast feeding,HSK6,1
捕捉,bǔ zhuō,to catch,HSK6,1
不得已,bù dé yǐ,to act against one's will,HSK6,1
不妨,bù fáng,there is no harm in,HSK6,1
不敢当,bù gǎn dāng,lit. I dare not (accept the honor); fig. I don't deserve your praise,HSK6,1
不禁,bù jīn,can't help (doing sth),HSK6,1
不堪,bù kān,cannot bear,HSK6,1
不可思议,bù kě sī yì,inconceivable (idiom); unimaginable,HSK6,1
不时,bù shí,from time to time,HSK6,1
不惜,bù xī,not stint,HSK6,1
不相上下,bù xiāng shàng xià,equally matched,HSK6,1
不言而喻,bù yán ér yù,it goes without saying,HSK6,1
不由得,bù yóu de,can't help,HSK6,1
不择手段,bù zé shǒu duàn,by fair means or foul,HSK6,1
不止,bù zhǐ,incessantly,HSK6,1
布告,bù gào,posting on a bulletin board,HSK6,1
布局,bù jú,arrangement,HSK6,1
布置,bù zhì,to put in order,HSK6,1
步伐,bù fá,pace,HSK6,1
部署,bù shǔ,to dispose,HSK6,1
部位,bù wèi,position,HSK6,1
才干,cái gàn,ability,HSK6,1
财富,cái fù,wealth,HSK6,1
财务,cái wù,financial affairs,HSK6,1
财政,cái zhèng,finances (public),HSK6,1
裁缝,cái féng,tailor,HSK6,1
裁判,cái pàn,judgment,HSK6,1
裁员,cái yuán,to cut staff,HSK6,1
