word,english,pinyin,level,language
吧,(modal particle indicating suggestion or surmise),ba,HSK2,1
白,white,bái,HSK2,1
百,hundred,bǎi,HSK2,1
帮助,assistance,bāng zhù,HSK2,1
报纸,newspaper,bào zhǐ,HSK2,1
比,"(particle used for comparison and ""-er than"")",bǐ,HSK2,1
别,to leave,bié,HSK2,1
长,length,cháng,HSK2,1
唱歌,to sing a song,chàng gē,HSK2,1
出,to go out,chū,HSK2,1
穿,to bore through,chuān,HSK2,1
船,a boat,chuán,HSK2,1
次,next in sequence,cì,HSK2,1
从,from,cóng,HSK2,1
错,mistake,cuò,HSK2,1
打篮球,Play basketball,dá lán qiú,HSK2,1
大家,everyone,dà jiā,HSK2,1
但是,but,dàn shì,HSK2,1
到,to (a place),dào,HSK2,1
得,structural particle: used after a verb (or adjective as main verb),de,HSK2,1
得,to have to,děi,HSK2,1
弟弟,younger brother,dì di,HSK2,1
第一,first,dì yī,HSK2,1
懂,to understand,dǒng,HSK2,1
房间,room,fáng jiān,HSK2,1
非常,unusual,fēi cháng,HSK2,1
服务员,waiter,fú wù yuán,HSK2,1
高,high,gāo,HSK2,1
告诉,to tell,gào su,HSK2,1
哥哥,older brother,gē ge,HSK2,1
给,to,gěi,HSK2,1
公共汽车,bus,gōng gòng qì chē,HSK2,1
公斤,kilogram (kg),gōng jīn,HSK2,1
公司,(business) company,gōng sī,HSK2,1
贵,expensive,guì,HSK2,1
还,still,hái,HSK2,1
孩子,child,hái zi,HSK2,1
好吃,tasty,hǎo chī,HSK2,1
号,ordinal number,hào,HSK2,1
黑,black,hēi,HSK2,1
红,red,hóng,HSK2,1
欢迎,to welcome,huān yíng,HSK2,1
还,to pay back,huán,HSK2,1
回答,to reply,huí dá,HSK2,1
机场,airport,jī chǎng,HSK2,1
鸡蛋,(chicken) egg,jī dàn,HSK2,1
件,item,jiàn,HSK2,1
教室,classroom,jiào shì,HSK2,1
姐姐,older sister,jiě jie,HSK2,1
介绍,to introduce (sb to sb),jiè shào,HSK2,1
进,to advance,jìn,HSK2,1
近,near,jìn,HSK2,1
就,at once,jiù,HSK2,1
觉得,to think,jué de,HSK2,1
咖啡,coffee,kā fēi,HSK2,1
开始,to begin,kāi shǐ,HSK2,1
考试,to take an exam,kǎo shì,HSK2,1
可能,might (happen),kě néng,HSK2,1
可以,can,kě yǐ,HSK2,1
课,subject,kè,HSK2,1
快,rapid,kuài,HSK2,1
快乐,happy,kuài lè,HSK2,1
